,Gene
765,Pbxip1
766,Pcdh7
767,Pced1b
768,Pclaf
769,Pcmtd2
770,Pdcd7
771,Pde3b
772,Pde4b
773,Pdgfrb
774,Pdik1l
775,Pdk1
776,Pdlim5
777,Pdlim7
778,Peli1
779,Pfas
780,Pgk1
781,Pgp
782,Phf21a
783,Pi16
784,Picalm
785,Pik3cb
786,Pik3cd
787,Pik3ip1
788,Pilra
789,Pim1
790,Pim2
791,Pimreg
792,Pip4k2a
793,Pip5k1a
794,Pirb
795,Pitpnc1
796,Pkmyt1
797,Pkn1
798,Plaur
799,Plbd1
800,Plcl2
801,Pld1
802,Plek
803,Plekha2
804,Plekha5
805,Plekhg1
806,Plekhm1
807,Plekho1
808,Plxnc1
809,Pnisr
810,Pnkd
811,Pnpla7
812,Pnpla8
813,Pnrc1
814,Por
815,Pou2f2
816,Ppa1
817,Ppdpf
818,Ppm1h
819,Ppm1k
820,Ppp1r13b
821,Ppp1r42
822,Ppp1r9a
823,Ppp2r5d
824,Ppp4r1
825,Ppp6r2
826,Pptc7
827,Pram1
828,Prc1
829,Prdx1
830,Prdx2
831,Prdx4
832,Prex1
833,Prg2
834,Prg3
835,Prkca
836,Prkcb
837,Prkcd
838,Prkce
839,Prkch
840,Prkd2
841,Prkg1
842,Prmt1
843,Prr11
844,Prr13
845,Prrc2b
846,Prrc2c
847,Prss16
848,Prtn3
849,Psap
850,Psmb8
851,Pten
852,Ptger3
853,Ptges3
854,Ptk2b
855,Ptma
856,Ptms
857,Ptpn1
858,Ptpn4
859,Ptprc
860,Ptprcap
861,Ptpre
862,Pttg1
863,Pum1
864,Pura
865,Pygl
866,Rab37
867,Rab38
868,Rab40c
869,Rabac1
870,Rabgap1
871,Racgap1
872,Rad51ap1
873,Rai1
874,Ralgapa2
875,Ralgps2
876,Raly
877,Ramp1
878,Ran
879,Ranbp1
880,Rangap1
881,Rap1gap2
882,Rap2c
883,Rapgef2
884,Rasgrp4
885,Rassf2
886,Rassf3
887,Rbbp7
888,Rbl2
889,Rbm15
890,Rbm47
891,Rbpms
892,Reck
893,Reep3
894,Rel
895,Retnlg
896,Retreg1
897,Rgcc
898,Rgp1
899,Rgs2
900,Rhoh
901,Ric1
902,Ripor2
903,Rnase6
904,Rnf11
905,Rnf13
906,Rnf149
907,Rnf180
908,Rnf19a
909,Rnf213
910,Rpgrip1
911,Rpl10a
912,Rpl13a
913,Rpl15
914,Rpl18
915,Rpl18a
916,Rpl22
917,Rpl22l1
918,Rpl27a
919,Rpl3
920,Rpl30
921,Rpl32
922,Rpl37
923,Rpl39
924,Rpl6
925,Rpl7
926,Rplp2
927,Rps15a
928,Rps18
929,Rps20
930,Rps25
931,Rps26
932,Rps3
933,Rps4x
934,Rps5
935,Rps6
936,Rps8
937,Rrm2
938,Rrm2b
939,Rrn3
940,Rsad2
941,Rsf1
942,Rtca
943,Rtp4
944,Runx2os1
945,S100a10
946,S100a6
947,S100a8
948,S100a9
949,Samd12
950,Samd4b
951,Samd9l
952,Samhd1
953,Samsn1
954,Saraf
955,Satb1
956,Scai
957,Scamp2
958,Scarb1
959,Scd2
960,Scrg1
961,Sdf2l1
962,Sec24b
963,Selenom
964,Selenow
965,Sell
966,Selplg
967,Sema3d
968,Senp6
969,Sept6
970,Serf1
971,Serinc3
972,Serpine2
973,Sesn1
974,Sesn3
975,Set
976,Sfxn5
977,Sgms1
978,Sgms2
979,Sgo1
980,Sh3glb1
981,Sh3rf1
982,Shisa5
983,Siah1a
984,Sik2
985,Sik3
986,Simc1
987,Sirpa
988,Sirt6
989,Ska1
990,Slc14a1
991,Slc18a2
992,Slc22a15
993,Slc22a3
994,Slc24a5
995,Slc25a3
996,Slc25a4
997,Slc25a45
998,Slc25a5
999,Slc2a3
1000,Slc35a5
1001,Slc38a9
1002,Slc40a1
1003,Slc43a2
1004,Slc43a3
1005,Slc7a8
1006,Slc9a9
1007,Slco4c1
1008,Slfn1
1009,Slfn2
1010,Slfn4
1011,Slfn5
1012,Slfn8
1013,Slpi
1014,Smad3
1015,Smap2
1016,Smc2
1017,Smc4
1018,Smim6
1019,Snap23
1020,Snrk
1021,Snrnp70
1022,Snrpd1
1023,Snrpf
1024,Snrpg
1025,Sntb1
1026,Snx10
1027,Snx20
1028,Snx27
1029,Soat1
1030,Socs5
1031,Sorl1
1032,Sp100
1033,Sp3os
1034,Sp4
1035,Spag5
1036,Spata13
1037,Spata6
1038,Spc24
1039,Spc25
1040,Spns2
1041,Sppl2a
1042,Spred1
1043,Sptssa
1044,Sqle
1045,Sqstm1
1046,Srebf2
1047,Srgn
1048,Srrm2
1049,Srsf1
1050,Srsf7
1051,Ssh2
1052,Ssr2
1053,Ssr4
1054,St3gal1
1055,St3gal2
1056,St3gal5
1057,St6galnac3
1058,St8sia4
1059,Stambpl1
1060,Stard5
1061,Stat1
1062,Stat3
1063,Stfa1
1064,Stfa2
1065,Stfa2l1
1066,Stfa3
1067,Stim2
1068,Stk10
1069,Stk17b
1070,Stk39
1071,Stx11
1072,Stxbp4
1073,Supt16
1074,Suv39h1
1075,Suz12
1076,Svil
1077,Syce2
1078,Tacc1
1079,Tacc3
1080,Tagln2
1081,Tal1
1082,Taok1
1083,Tap2
1084,Tbc1d10c
1085,Tbc1d14
1086,Tbc1d23
1087,Tbc1d4
1088,Tbc1d5
1089,Tbcel
1090,Tceal9
1091,Tceanc2
1092,Tcf4
1093,Tcf7l2
1094,Tcp11l2
1095,Tesc
1096,Tespa1
1097,Tet1
1098,Tfdp2
1099,Tgfbi
1100,Tgfbr2
1101,Thap3
1102,Tiam1
1103,Timm50
1104,Timmdc1
1105,Tipin
1106,Tle3
1107,Tmcc1
1108,Tmed8
1109,Tmem11
1110,Tmem131l
1111,Tmem154
1112,Tmem164
1113,Tmem175
1114,Tmem71
1115,Tmem80
1116,Tmem87a
1117,Tmf1
1118,Tmsb10
1119,Tmsb4x
1120,Tnfrsf13b
1121,Tnfsf13b
1122,Tnfsf13os
1123,Tnik
1124,Tnnt1
1125,Tnrc6b
1126,Tns1
1127,Tom1l2
1128,Tomm5
1129,Tox
1130,Tpd52
1131,Tpk1
1132,Tpm4
1133,Trafd1
1134,Trappc1
1135,Treml2
1136,Trf
1137,Trim12c
1138,Trim25
1139,Trim30a
1140,Trim30d
1141,Trim59
1142,Trio
1143,Trip4
1144,Trnp1
1145,Trp53inp1
1146,Trps1
1147,Tsc22d1
1148,Tsc22d2
1149,Tsc22d3
1150,Tspan13
1151,Tspan32
1152,Tspan4
1153,Ttc3
1154,Ttk
1155,Tuba1b
1156,Tubb5
1157,Tubb6
1158,Txnip
1159,Tyms
1160,Uba52
1161,Ube2c
1162,Ube2h
1163,Ube2r2
1164,Ube2s
1165,Ubl3
1166,Unc13d
1167,Usp1
1168,Usp18
1169,Usp32
1170,Vamp4
1171,Vamp5
1172,Vcam1
1173,Vezf1
1174,Vgll4
1175,Vmp1
1176,Vpreb3
1177,Vps13d
1178,Vsir
1179,Washc4
1180,Wbp1l
1181,Wdfy1
1182,Wdpcp
1183,Wdr12
1184,Wdr73
1185,Wdr76
1186,Wdr89
1187,Wfdc17
1188,Wipf1
1189,Wrn
1190,Wtap
1191,Xaf1
1192,Xdh
1193,Xist
1194,Xpo6
1195,Xpr1
1196,Xrcc4
1197,Ybx3
1198,Yme1l1
1199,Ypel3
1200,Ythdf2
1201,Zbp1
1202,Zbtb20
1203,Zbtb44
1204,Zc3h6
1205,Zc3hav1
1206,Zcchc11
1207,Zcchc2
1208,Zcchc6
1209,Zdhhc18
1210,Zfand5
1211,Zfhx3
1212,Zfp1
1213,Zfp217
1214,Zfp26
1215,Zfp260
1216,Zfp326
1217,Zfp36l1
1218,Zfp422
1219,Zfp516
1220,Zfp608
1221,Zfp706
1222,Zfp871
1223,Zmym2
1224,Znrf1
1225,Zscan26
1226,Zyg11b
1227,Zyx
