"","waldStat","df","pvalue","padj"
"Mapkap1",1.78069771411331,4,0.776011868416494,1
"Hspa5",0.883286559629212,4,0.926946294041998,1
"Cntrl",1.54011631313676,4,0.819512396747404,1
"Gsn",0,4,1,1
"Mrrf",0.134215752145755,3,0.987436678269891,1
"Gm13431",0.85709366494986,2,0.651455080586029,1
"Ptgs1",2.45775048530076,4,0.652216863315561,1
"Rabgap1",0.18499969279387,3,0.979973744160768,1
"Arpc5l",0,4,1,1
"Epc2",0,4,1,1
"Rif1",1.29390466393493,2,0.523639225905014,1
"Fmnl2",0.631019850852225,4,0.95955508125795,1
"Arl6ip6",0.355302682864112,4,0.985970074715554,1
"Gpd2",0,4,1,1
"Pkp4",7.28472691201757,3,0.0633555308497904,1
"Tanc1",1.94421685901513,2,0.37828461025025,1
"March7",2.01233780623225,4,0.733489484061456,1
"Tank",2.73124558762481,4,0.603758214221806,1
"Psmd14",6.95559532990006,4,0.138253498673451,1
"Gca",0.279414391827048,4,0.991103993528506,1
"Cers6",0.342963258439059,4,0.986874567924579,1
"Ppig",0.218298869772958,4,0.994459417779397,1
"Klhl23",0.957435687893683,2,0.619577277511463,1
"Ssb",1.21495421492657,4,0.875630420464264,1
"Ubr3",0.145892524508716,4,0.997465336063052,1
"Gorasp2",0.00449983332548343,4,0.999997472730757,1
"Dync1i2",0,4,1,1
"Hat1",0.536171360074252,2,0.764842246583321,1
"Itga6",0.183188640708516,4,0.996052797203104,1
"Pdk1",2.3392480148955,3,0.505043753920871,1
"Map3k20",0.689324363041169,4,0.952638890160512,1
"Cdca7",1.53939827432667,4,0.819640389725859,1
"Sp3os",0,2,1,1
"Mtx2",1.81640276995081,4,0.769480036247211,1
"Hnrnpa3",16.5076729396892,4,0.00240838651676445,0.138369331595982
"Agps",0,4,1,1
"Rbm45",0.859155523070675,4,0.930346080471707,1
"Plekha3",2.66454627351615,4,0.615432657993808,1
"Ube2e3",6.05855480944788,4,0.194817832592481,1
"Itga4",0.129938769942057,4,0.997978712828913,1
"Ssfa2",0.00566239896160603,4,0.999995999711398,1
"Dnajc10",0,4,1,1
"Nup35",2.73981690815665,2,0.25413022307344,1
"Zc3h15",0,4,1,1
"Itgav",1.35667799326988,4,0.851688537947352,1
"Med19",0.0863462747716236,4,0.999094434539685,1
"Timm10",5.68572844110249,2,0.0582585613977327,1
"Slc43a3",6.41887755860078,2,0.0403792685954891,0.892685011035381
"Ssrp1",7.47865165859709,4,0.11265435719373,1
"Nup160",4.50958884972106,4,0.341412004074852,1
"Fnbp4",0.69381105475096,4,0.952089945596139,1
